"song_number","ID","gender","condition","age","time","answer","confidence","prefer","recognize","real_song","correct","system","system_numeric","overlap"
10,"Lis52","Female","Condition B",52,"17/12/2022 11.43.27","A",4,"A","No","B",0,"machine",1,1
10,"cha69","Female","Condition B",20,"17/12/2022 11.45.09","A",2,"B","No","B",0,"human",0,0
10,"Bro11","Female","Condition B",22,"17/12/2022 11.47.10","B",1,"B","No","B",1,"human",0,1
10,"lol01","Male","Condition B",26,"17/12/2022 11.51.23","A",1,"B","No","B",0,"human",0,0
10,"Hjo88","Female","Condition B",23,"17/12/2022 11.56.03","B",3,"B","No","B",1,"human",0,1
10,"tym92","Male","Condition B",22,"17/12/2022 12.31.57","A",2,"A","No","B",0,"machine",1,1
10,"Lol70","Male","Condition B",28,"17/12/2022 12.32.44","A",3,"A","No","B",0,"machine",1,1
10,"Ooo00","Female","Condition B",24,"17/12/2022 12.57.46","B",3,"A","No","B",1,"machine",1,0
10,"prh83","Female","Condition B",23,"17/12/2022 13.37.05","B",3,"A","No","B",1,"machine",1,0
10,"asd12","Male","Condition B",25,"17/12/2022 18.03.08","A",1,"A","No","B",0,"machine",1,1
10,"pln63","Male","Condition B",59,"17/12/2022 19.23.00","A",3,"A","No","B",0,"machine",1,1
10,"jsg25","Male","Condition B",24,"18/12/2022 10.30.58","B",2,"B","No","B",1,"human",0,1
10,"Glu47","Female","Condition B",27,"18/12/2022 11.41.42","A",4,"A","No","B",0,"machine",1,1
10,"pic54","Male","Condition B",22,"18/12/2022 20.58.09","B",4,"B","No","B",1,"human",0,1
